"Jl. Kol. Yos Sudarso No.8, Silalas, Kec. Medan Bar., Kota Medan, Sumatera Utara 20234, Indonesia"
"Jl. Imam Bonjol No. 7, Petisah Tengah, Medan Petisah"
"Jl. Kol. Yos Sudarso, M A B A R, Kec. Medan Deli, Kota Medan, Sumatera Utara 20231, Indonesia"
"Jl. Jamin Ginting No.681, Titi Rantai, Kec. Medan Baru"
"Jl. Jamin Ginting No.681, Titi Rantai, Kec. Medan Baru,"
"Jl. Jamin Ginting No.681, Titi Rantai, Kec. Medan Baru, Kota Medan, Sumatera Utara 20157"
"Jl. Diponegoro No.12A-B,Lubuk Pakam, Kota Medan, Sumatra Utara"
"Jl. Diponegoro No.12A-B,Lubuk Pakam, Kabupaten Deli Serdang, Sumatra Utara"
"Jl. Diponegoro No.12A-B,Lubuk Pakam, Kabupaten Deli Serdang, Sumatra Utara"
"Jl. Veteran No.29, Tambak Lau Mulgap I, Kec. Berastagi, Kabupaten Karo,"
"Jl. Veteran No.29, Tambak Lau Mulgap I, Kec. Berastagi, Kabupaten Karo,"
"Jl. Veteran No. 92 - 96, Kabanjahe,, Kabupaten Karo, Sumatra Utara"
"Jl. Veteran No. 92 - 96, Kabanjahe,, Kabupaten Karo, Sumatra Utara"
"Jl. Veteran No. 92 - 96, Kabanjahe, , Kabupaten Karo, Sumatra Utara"
"Jl. Perniagaan No.327, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212, Indonesia"
"Jl. Pulau Pinang, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212"
"Jl. Perniagaan No.327, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212, Indonesia"
"Jl. Setia Budi, Tj. Rejo, Kec. Medan Sunggal, Sumatra Utara"
"Jl. Setia Budi, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20122"
"Jl. Brigjen Zain Hamid No. 28, Titi Kuning, Medan Johor,"
