address,latitude,longitude,Bank
CIRCLE K JLN MAGELANG CRM 1 JL MAGELANG KM 5 YOGYAKARTA,-7.755300000,110.361800000,BCA
"ALFAMART MAGELANG KM 5,6 JL MAGELANG KM 5,6 KEL SINDUADI KEC MLATI KAB SLEMAN",-7.755200000,110.362100000,BCA
EBC JOGJA CITY CRM 1 JL MAGELANG KM 6 NO 18 SLEMAN,-7.754600000,110.362600000,BCA
EBC JOGJA CITY CRM 2 JL MAGELANG KM 6 NO 18 SLEMAN,-7.754600000,110.362600000,BCA
EBC JOGJA CITY CRM 3 JL MAGELANG KM 6 NO 18 SLEMAN,-7.754600000,110.362600000,BCA
EBC JOGJA CITY CRM 4 JL MAGELANG KM 6 NO 18 SLEMAN,-7.754600000,110.362600000,BCA
"SHOPPING CENTER JEPARA JL. PATIMURA , JEPARA",-6.589194000,110.668235000,BCA
INDOMARET PATTIMURA SALATIGA CRM 1 JL PATIMURA NO 28 SALATIGA,-7.361437000,110.510568000,BCA
ALFAMART HOTEL 309 PALAGAN BAWEN CRM 1 JL PALAGAN NO 40 KEC BAWEN KAB SEMARANG,-7.361437000,110.510568000,BCA
INDOMARET PASAR JETIS CRM 1 JL. IMAM BONJOL NO 9 KEL SIDOREJO SALATIGA,-7.361437000,110.510568000,BCA
INDOMARET TINGKIR CRM 1 JL SOEKARNO HATTA NO 95 SALATIGA,-7.361449000,110.510595000,BCA
INDOMARET HASANUDIN SALATIGA CRM 1 JL HASANUDIN 16A MANGUNSARI SALATIGA,-7.361449000,110.510595000,BCA
INDOMARET MUWARDI SALATIGA CRM 1 JL. MUWARDI NO. 55 SALATIGA,-7.361449000,110.510595000,BCA
"ALFAMART SORAGAN BANTUL JL SORAGAN RT02, NGESTIHARJO, KASIHAN, BANTUL",-7.789200000,110.348000000,BCA
"ALFAMART SUKABANGUN 2-4 PALEMBANG JL SUKABANGUN 2, SUKARAME, PALEMBANG",-2.943000000,104.730700000,BCA
JEPARA CRM 1 JL PEMUDA 28-32 - JEPARA,-6.595462754,110.667925200,BCA
JEPARA CRM 2 JL PEMUDA 28-32 - JEPARA,-6.595462754,110.667925200,BCA
JEPARA CRM 3 JL PEMUDA 28-32 - JEPARA,-6.595462754,110.667925200,BCA
JEPARA CRM 4 JL PEMUDA 28-32 - JEPARA,-6.595462754,110.667925200,BCA
JEPARA CRM 5 JL PEMUDA 28-32 - JEPARA,-6.595462754,110.667925200,BCA
JEPARA CRM 6 JL PEMUDA 28-32 - JEPARA,-6.595462754,110.667925200,BCA
"ALFAMART SONOSEWU JL PGRI NO 119, SONOSEWU, KASIHAN, BANTUL",-7.806500000,110.340600000,BCA
CRM INDOMARET KYAI MOJO JL KYAI MOJO NO 88 YOGYAKARTA,-7.781410000,110.352150000,BCA
INDOMARET SONO SEWU JL SONO SEWU NO 16B BANTUL,-7.807000000,110.342500000,BCA
SUPERINDO GODEAN JL. HOS COKROAMINOTO NO. 176 YOGYAKARTA,-7.782180000,110.354023000,BCA
ALFAMART SUKARNO HATTA SALATIGA JL SOEKARNO HATTA NO 64 SALATIGA,-7.361600000,110.513700000,BCA
"PINGIT CRM 2 JL MAGELANG KM 4 NO 402, YOGYAKARTA 55284",-7.768484966,110.361578300,BCA
"PINGIT CRM 3 JL MAGELANG KM 4 NO 402, YOGYAKARTA 55284",-7.768484966,110.361578300,BCA
"PINGIT CRM 1 JL MAGELANG KM 4 NO 402, YOGYAKARTA 55284",-7.768484966,110.361578343,BCA
INDOMARET SUKABANGUN PLG JL. SUKABANGUN 2 PALEMBANG,-2.935300000,104.735000000,BCA
"ALFAMART PALAGAN JL PALAGAN TENTARA PELAJAR NO 4, RT01/07, SARIHARJO, NGAGLIK, SLEMAN",-7.721200000,110.382600000,BCA
"INDOMARET RINGROAD MONJALI SLEMAN JL RINGROAD UTARA 10 NANDAN, SARIHARJO, NGAGLIK, SLEMAN YOGYAKARTA",-7.751300000,110.370500000,BCA
INDOMARET PALAGAN HYATT SLEMAN YOGYAKARTA 2 JL PALAGAN KM 7 SARIHARJO NGAGLIK SLEMAN,-7.736900000,110.376800000,BCA
INDOMARET PALAGAN HYATT JL PALAGAN KM 7 SARIHARJO NGAGLIK SLEMAN,-7.736900000,110.376800000,BCA
INDOMARET PANGERAN AYIN II PLG JL PANGERAN AYIN BANYUASIN PALEMBANG,-2.911900000,104.769800000,BCA
INDOMARET WIROBRAJAN CRM 1 JL RE MARTADINATA NO 116 SINGOSAREN YOGYA,-7.800600000,110.348700000,BCA
INDOMARET PALAGAN CRM 2 JL PALAGAN TENTARA PELAJAR NO 69 SLEMAN,-7.746600000,110.372800000,BCA
INDOMARET PALAGAN CRM 1 JL PALAGAN TENTARA PELAJAR NO 69 SLEMAN,-7.746600000,110.372800000,BCA
"INDOMARET PALAGAN 63 CRM 1 JL PALAGAN TENTARA PELAJAR NO 63 SARIHARJO, NGAGLI",-7.745727000,110.373364000,BCA
INDOMARET KRICAK CRM 1 JL MAGELANG NO 105 JATIMULYO KRICAK YOG,-7.774400000,110.360800000,BCA
INDOMARET KRICAK CRM 2 JL MAGELANG NO 105 JATIMULYO KRICAK YOG,-7.774400000,110.360800000,BCA
"ALFAMIDI SUPER TEGALREJO JL HOS COKROAMINOTO KOMPEK DEMAKAN RT35/09, TEGALREJO, TEGALREJO, YOGYAKARTA",-7.791035000,110.353448000,BCA
PAGAR ALAM CRM 1 JL KOMBES H UMAR NO 11 PAGAR ALAM LAHAT,-2.954230400,104.702696200,BCA
PAGAR ALAM CRM 2 JL KOMBES H UMAR NO 11 PAGAR ALAM LAHAT,-2.954230400,104.702696200,BCA
INDOMARET TEGALREJO CRM 1 JL HOS COKROAMINOTO 98 TELOGOREJO YOGYAKARTA,-7.792612000,110.353550000,BCA
INDOMARET HOS COKROAMINOTO CRM 1 JL HOS COKROAMINOTO NO 91 YOGYAKARTA,-7.796227000,110.352845000,BCA
"INDOMARET MONJALI SELATAN JL MONJALI, GEMAWANG SINDUADI, SLEMAN",-7.760600000,110.369300000,BCA
INDOMARET JETIS JL MAGELANG NO 28-30 JETIS YOGYAKARTA,-7.781000000,110.361000000,BCA
INDOMARET PIERE TENDEAN CRM 2 JL KAPTEN PIERE TENDEAN NO 36 YOGYAKARTA,-7.804400000,110.350900000,BCA
INDOMARET PIERE TENDEAN CRM 1 JL KAPTEN PIERE TENDEAN NO 36 YOGYAKARTA,-7.804400000,110.350900000,BCA
"APOTIK KD FARMA JL. LET. JEND SUPRAPTO NO. 87, YOGYAKARTA.",-7.794900000,110.357000000,BCA
"ALFAMART AM SANGAJI YOGYAKARTA JL AM SANGAJI NO 59, COKRODININGRATAN, JETIS, YOGYAKARTA",-7.773400000,110.368000000,BCA
ALFAMART LINGKAR DEMAK KM 25 JL RAYA LINGKAR DEMAK KM 25 DEMAK,-6.908900000,110.635680000,BCA
ALFAMART WAHID HASYIM 1 JL. WAHID HASYIM NO. 43 YOGYAKARTA,-7.803400000,110.356500000,BCA
INDOMARET SIWALAN JL SIWALAN NO 14 BINTARO DEMAK,-6.894140000,110.639755000,BCA
"INDOMARET WAHID HASYIM YOGYAKARTA JL WAHID HASYIM NO 51, NOTOPRAJAN, NGAMPILAN YOGYAKARTA",-7.804795000,110.356265000,BCA
BANK CCBI KC. YOGYAKARTA JL PANGERAN DPONEGORO NO 11 - 13 YOGYAKARTA,-7.783100000,110.366100000,BCA
INDOMARET JEPARA II JL KH WAHID HASYIM SENENAN JEPARA,-6.606101000,110.681247000,BCA
"ABADI HOTEL JOGJA JL PASAR KEMBANG NO 49, YOGYAKARTA",-7.790200000,110.363600000,BCA
STASIUN TUGU CRM 1 JL MANGKUBUMI SOSROMENDURAN YOGYAKARTA,-7.789100000,110.364200000,BCA
"INDOMARET SUGENG JERONI YOGYAKARTA CRM 1 JL SUGENG JERONI NO 27 GEDONGKIWO, MANTRIJERON, YOGYAKARTA",-7.812600000,110.354100000,BCA
"INDOMARET SUGENG JERONI YOGYAKARTA CRM 2 JL SUGENG JERONI NO 27 GEDONGKIWO, MANTRIJERON, YO",-7.812600000,110.354100000,BCA
CIRCLE K CK0111 SOSROWIJAYAN 2 JL SOSROWIJAYAN NO 37 YOGYAKARTA,-7.791400000,110.363700000,BCA
INDOMARET AHMAD DAHLAN CRM 1 JL AHMAD DAHLAN NO 76 YOGYAKARTA,-7.801138000,110.359543000,BCA
CIRCLE K CK0109 SUDIRMAN TUGU JL JENDRAL SUDIRMAN NO 14 YOGYAKARTA,-7.783120000,110.367700000,BCA
INDOMARET HBR MONTIK PALEMBANG JL HBR MONTIK NO 1002 RT 03 KARIA BARU ALANG ALANG LEBAR KARYA BA RU PALEMBANG,-2.934200000,104.716000000,BCA
INDOMARET BHAYANGKARA YOGYAKARTA JL. MIROTA GODEAN KM. 2- YOGYAKARTA,-7.796400000,110.362100000,BCA
MANGKUBUMI CRM 1 JL P MANGKUBUMI 5-7 - YOGYAKARTA,-7.788217139,110.366148500,BCA
MANGKUBUMI CRM 2 JL P MANGKUBUMI 5-7 - YOGYAKARTA,-7.788217139,110.366148500,BCA
"INDOFOOD PALEMBANG JL. TALANG KELAPA KM. 8, PALEMBANG",-2.933900000,104.714900000,BCA
INDOMARET PAKEM JL KALIURANG KM 17 PAKEMBINANGUN PAKEM SLEMAN,-7.665000000,110.419500000,BCA
INDOMARET PANDEGA JL PANDEGA MARTA NO 1 CATURTUNGGAL SLEMAN,-7.754600000,110.382600000,BCA
"MALIOBORO THE SHOPPING MALL 1 JL. MALIOBORO 52-58, YOGYAKARTA",-7.793200000,110.366200000,BCA
"MALIOBORO THE SHOPPING MALL 2 JL. MALIOBORO 52-58, YOGYAKARTA",-7.793200000,110.366200000,BCA
"ALFAMART KLERO SALATIGA JL SALATIGA - SOLO KM 8, RT05 RW01, SEMARANG",-7.406370000,110.515520000,BCA
"TOKO ARLOJI SAMUDRA MAKMUR JL. KALIURANG KM 5/10, SLEMAN, YOGYAKARTA",-7.761700000,110.380300000,BCA
CIRCLE K KALIURANG BAWAH CRM 1 JL KALIURANG KM 4 5 KOCORAN NO 52 YOGYAKARTA,-7.763785000,110.379443000,BCA
"TOKO RAMAI 2, YOGYA JL. A YANI 73 YOGYAKARTA",-7.796631000,110.364900000,BCA
